Graphics Card,Price,Shipping,More Info
ASUS TUF Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card TUF-RTX3060TI-O8G-V2-GAMING LHR,"$1,099.99",Free,https://www.newegg.com/p/1FT-000Y-00661
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC LHR,$888.88,Free,https://www.newegg.com/p/1FT-0009-006H4
ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card TUF-RTX3060-O12G-V2-GAMING LHR,$909.99,Free,https://www.newegg.com/p/1FT-000Y-00651
GIGABYTE Eagle GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060EAGLE OC-12GD (rev. 2.0),$849.99,$45.00,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060eagle-oc-12gd/p/N82E16814932434
ASUS ROG Strix GeForce RTX 2080 Ti 11GB GDDR6 PCI Express 3.0 SLI Support Video Card ROG-STRIX-RTX2080TI-O11G-GAMING,"$1,899.00",Free,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-o11g-gaming/p/N82E16814126263
ASUS ROG Strix GeForce RTX 2080 Ti 11GB GDDR6 PCI Express 3.0 SLI Support Video Card ROG-STRIX-RTX2080TI-A11G-GAMING,"$1,799.99",Free,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-a11g-gaming/p/N82E16814126265
EVGA NVIDIA GeForce RTX 3060 XC 12GB DDDR6 Video Card 12G-P5-3657-KR + HDMI - NEW,$969.95,Special,https://www.newegg.com/evga-3060-xc-gaming/p/1FT-001K-00DF3
ASUS Dual GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card DUAL-RTX3060-O12G-V2,$899.99,Free,https://www.newegg.com/p/1FT-000Y-00650
GIGABYTE AORUS GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060AORUS E-12GD (rev. 2.0),$874.25,$49.99,https://www.newegg.com/p/1FT-000A-002A4
"EVGA GeForce RTX 2080 Ti Black Edition Gaming, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card 11G-P4-2281-KR","$1,999.95",Special,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2281-kr/p/1FT-001K-004S1
"GIGABYTE AORUS GeForce RTX 3060 Ti ELITE 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-bit GDDR6, GV-N306TAORUS E-8GD (rev. 2.0) Video Card",$989.99,$49.99,https://www.newegg.com/p/1FT-000A-002G7
MSI Ventus GeForce RTX 3060TI 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060TI Ventus 3X 8G OC,"$1,043.25",$49.99,https://www.newegg.com/p/1FT-0009-006E9
MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Gaming Z TRIO  8G LHR,"$1,099.99",Free,https://www.newegg.com/p/1FT-0009-006H8
"GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card","$1,949.00",Free,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tgaming-oc-11gc/p/N82E16814932064
COLORFUL iGame GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Vulcan OC LHR,"$1,099.99",Free,https://www.newegg.com/p/1FT-00DM-00006
ASUS ROG Strix GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3060-O12G-V2-GAMING,$899.99,$49.99,https://www.newegg.com/p/1FT-000Y-00639
GIGABYTE AORUS GeForce RTX 2080 Ti 11GB GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card GV-N208TAORUS-11GC,"$1,998.00",Free,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208taorus-11gc/p/N82E16814932077
"GIGABYTE AORUS GeForce RTX 3060 ELITE 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060AORUS E-12GD Video Card",$930.24,$49.99,https://www.newegg.com/p/1FT-000A-002C1
